"Iteration","Dst","Src","Score","method","scoretype"
"514",1,15,5,0.182197,"it","ahp"
"515",1,27,2,0.262696,"it","ahp"
"516",1,28,2,0.246886,"it","ahp"
"517",1,22,0,0.252115,"it","ahp"
"518",1,32,0,0.251456,"it","ahp"
"519",1,33,2,0.268006,"it","ahp"
"520",1,9,0,0.266274,"it","ahp"
"521",1,30,0,0.267657,"it","ahp"
"522",1,35,0,0.224618,"it","ahp"
"523",1,25,0,0.28155,"it","ahp"
"524",1,13,5,0.205174,"it","ahp"
"525",1,10,0,0.233933,"it","ahp"
"526",1,31,0,0.205461,"it","ahp"
"527",1,14,0,0.210999,"it","ahp"
"528",1,19,1,0.279758,"it","ahp"
"529",1,29,0,0.249753,"it","ahp"
"530",1,21,0,0.192127,"it","ahp"
"531",1,18,0,0.180441,"it","ahp"
"532",1,24,0,0.267938,"it","ahp"
"533",1,26,0,0.174652,"it","ahp"
"534",1,34,0,0.203265,"it","ahp"
"535",1,11,2,0.218944,"it","ahp"
"536",1,17,2,0.229025,"it","ahp"
"537",1,7,2,0.259695,"it","ahp"
"538",1,16,2,0.260759,"it","ahp"
"539",1,6,2,0.243419,"it","ahp"
"540",1,23,0,1,"it","it"
"541",1,12,0,1,"it","it"
"542",1,20,0,1,"it","it"
"543",1,15,5,0.825,"it","it"
"544",1,27,2,1,"it","it"
"545",1,28,2,1,"it","it"
"546",1,22,0,1,"it","it"
"547",1,32,0,1,"it","it"
"548",1,33,2,1,"it","it"
"549",1,9,0,0.960295,"it","it"
"550",1,30,0,0.85,"it","it"
"551",1,35,0,0.85,"it","it"
"552",1,25,0,0.85,"it","it"
"553",1,13,5,0.825,"it","it"
"554",1,10,0,0.85,"it","it"
"555",1,31,0,0.85,"it","it"
"556",1,14,0,0.85,"it","it"
"557",1,19,1,0.825,"it","it"
"558",1,29,0,0.85,"it","it"
"559",1,21,0,0.85,"it","it"
"560",1,18,0,0.85,"it","it"
"561",1,24,0,0.85,"it","it"
"562",1,26,0,0.85,"it","it"
"563",1,34,0,0.85,"it","it"
"564",1,11,2,0.825,"it","it"
"565",1,17,2,0.825,"it","it"
"566",1,7,2,1,"it","it"
"567",1,16,2,0.85,"it","it"
"568",1,6,2,0.85,"it","it"
"569",1,31,2,0.230087,"ahp","ahp"
"570",1,33,1,0.265888,"ahp","ahp"
"571",1,24,1,0.38128,"ahp","ahp"
"572",1,10,0,0.228689,"ahp","ahp"
"573",1,17,5,0.353349,"ahp","ahp"
"574",1,12,5,0.248845,"ahp","ahp"
"575",1,7,2,0.236075,"ahp","ahp"
"576",1,16,0,0.280872,"ahp","ahp"
"577",1,35,0,0.200022,"ahp","ahp"
"578",1,32,2,0.219552,"ahp","ahp"
"579",1,19,5,0.279025,"ahp","ahp"
"580",1,14,5,0.229305,"ahp","ahp"
"581",1,20,1,0.273585,"ahp","ahp"
"582",1,29,1,0.24857,"ahp","ahp"
"583",1,28,0,0.296573,"ahp","ahp"
"584",1,9,2,0.213328,"ahp","ahp"
"585",1,21,1,0.24857,"ahp","ahp"
"586",1,22,1,0.267719,"ahp","ahp"
"587",1,27,5,0.369397,"ahp","ahp"
"588",1,30,1,0.241785,"ahp","ahp"
"589",1,8,1,0.388784,"ahp","ahp"
"590",1,18,1,0.279537,"ahp","ahp"
"591",1,34,2,0.24596,"ahp","ahp"
"592",1,15,1,0.248499,"ahp","ahp"
"593",1,26,2,0.222981,"ahp","ahp"
"594",1,6,1,0.494944,"ahp","ahp"
"595",1,23,1,0.373314,"ahp","ahp"
"596",1,11,0,0.347953,"ahp","ahp"
"597",1,25,1,0.241564,"ahp","ahp"
"598",1,31,2,0.825,"ahp","it"
"599",1,33,1,0.892857,"ahp","it"
"600",1,24,1,1,"ahp","it"
"601",1,10,0,1,"ahp","it"
"602",1,17,5,1,"ahp","it"
"603",1,12,5,1,"ahp","it"
"604",1,7,2,0.776852,"ahp","it"
"605",1,16,0,1,"ahp","it"
"606",1,35,0,0.875253,"ahp","it"
"607",1,32,2,0.825,"ahp","it"
"608",1,19,5,1,"ahp","it"
"609",1,14,5,0.900115,"ahp","it"
"610",1,20,1,0.85,"ahp","it"
"611",1,29,1,0.675,"ahp","it"
"612",1,28,0,1,"ahp","it"
