"Iteration","Dst","Src","BW","HC","PI","IU","run","method","users","speed"
"268",1,33,4,0.088173,2,4,3.9,"13","ahp",30,"0"
"269",1,34,1,0.009422,1,1,9.4,"13","ahp",30,"0"
"270",1,35,0,0.043934,2,2,5.5,"13","ahp",30,"0"
"271",1,6,2,0.082893,3,2,7.2,"13","it",30,"0"
"272",1,7,2,0.077034,1,3,7.2,"13","it",30,"0"
"273",1,8,2,0.285837,3,1,7.2,"13","it",30,"0"
"274",1,9,1,0.044175,3,1,9.4,"13","it",30,"0"
"275",1,10,0,0.2353,2,2,5.5,"13","it",30,"0"
"276",1,11,5,0.126678,4,1,5.1,"13","it",30,"0"
"277",1,12,1,0.158666,3,1,9.4,"13","it",30,"0"
"278",1,13,1,0.252162,7,1,9.4,"13","it",30,"0"
"279",1,14,1,0.032944,2,1,9.4,"13","it",30,"0"
"280",1,15,1,0.241557,6,1,9.4,"13","it",30,"0"
"281",1,16,2,0.027489,2,2,7.2,"13","it",30,"0"
"282",1,17,1,0.055069,9,1,9.4,"13","it",30,"0"
"283",1,18,1,0.175201,3,1,9.4,"13","it",30,"0"
"284",1,19,1,0.287337,6,1,9.4,"13","it",30,"0"
"285",1,20,0,0.280349,2,2,5.5,"13","it",30,"0"
"286",1,21,1,0.181958,1,1,9.4,"13","it",30,"0"
"287",1,22,0,0.023173,2,2,5.5,"13","it",30,"0"
"288",1,23,1,0.284261,1,1,9.4,"13","it",30,"0"
"289",1,24,1,0.149411,4,1,9.4,"13","it",30,"0"
"290",1,25,0,0.158208,1,2,5.5,"13","it",30,"0"
"291",1,26,1,0.198187,4,1,9.4,"13","it",30,"0"
"292",1,27,1,0.04298,7,1,9.4,"13","it",30,"0"
"293",1,28,2,0.126927,3,2,7.2,"13","it",30,"0"
"294",1,29,0,0.140938,2,2,5.5,"13","it",30,"0"
"295",1,30,2,0.122368,5,1,7.2,"13","it",30,"0"
"296",1,31,0,0.283744,3,2,5.5,"13","it",30,"0"
"297",1,32,1,0.204112,3,1,9.4,"13","it",30,"0"
"298",1,33,5,0.088173,2,1,5.1,"13","it",30,"0"
"299",1,34,1,0.009422,1,1,9.4,"13","it",30,"0"
"300",1,35,1,0.043934,3,1,9.4,"13","it",30,"0"
"301",1,6,1,0.154513,1,3,9.4,"14","ahp",30,"0"
"302",1,7,2,0.29098,3,1,7.2,"14","ahp",30,"0"
"303",1,8,1,0.076735,1,3,9.4,"14","ahp",30,"0"
"304",1,9,1,0,6,1,9.4,"14","ahp",30,"0"
"305",1,10,0,0.00037,4,3,5.5,"14","ahp",30,"0"
"306",1,11,0,0.101254,1,3,5.5,"14","ahp",30,"0"
"307",1,12,5,0.196694,3,2,5.1,"14","ahp",30,"0"
"308",1,13,1,0.206541,6,1,9.4,"14","ahp",30,"0"
"309",1,14,5,0.250652,2,2,5.1,"14","ahp",30,"0"
"310",1,15,1,0,7,1,9.4,"14","ahp",30,"0"
"311",1,16,0,0.086978,1,3,5.5,"14","ahp",30,"0"
"312",1,17,5,0.18332,1,4,5.1,"14","ahp",30,"0"
"313",1,18,1,0,3,3,9.4,"14","ahp",30,"0"
"314",1,19,5,0.171404,1,3,5.1,"14","ahp",30,"0"
"315",1,20,1,0.065076,3,3,9.4,"14","ahp",30,"0"
"316",1,21,1,0,6,1,9.4,"14","ahp",30,"0"
"317",1,22,1,0,4,3,9.4,"14","ahp",30,"0"
"318",1,23,1,0.050029,2,1,9.4,"14","ahp",30,"0"
"319",1,24,1,0.005367,2,3,9.4,"14","ahp",30,"0"
"320",1,25,1,0,4,1,9.4,"14","ahp",30,"0"
"321",1,26,2,0.259952,1,1,7.2,"14","ahp",30,"0"
"322",1,27,5,0.045785,2,4,5.1,"14","ahp",30,"0"
"323",1,28,1,0,5,3,9.4,"14","ahp",30,"0"
"324",1,29,1,0.051755,6,1,9.4,"14","ahp",30,"0"
"325",1,30,2,0.016538,3,1,7.2,"14","ahp",30,"0"
"326",1,31,2,0.23789,3,1,7.2,"14","ahp",30,"0"
"327",1,32,2,0.261771,1,1,7.2,"14","ahp",30,"0"
"328",1,33,1,0.104048,5,3,9.4,"14","ahp",30,"0"
"329",1,34,2,0.085629,1,1,7.2,"14","ahp",30,"0"
"330",1,35,0,0.050871,5,3,5.5,"14","ahp",30,"0"
"331",1,6,1,0.154513,1,3,9.4,"14","it",30,"0"
"332",1,7,5,0.29098,5,1,5.1,"14","it",30,"0"
"333",1,8,1,0.076735,1,3,9.4,"14","it",30,"0"
"334",1,9,1,0.011089,6,1,9.4,"14","it",30,"0"
"335",1,10,1,0.00037,5,1,9.4,"14","it",30,"0"
"336",1,11,2,0.101254,5,1,7.2,"14","it",30,"0"
"337",1,12,5,0.196694,3,2,5.1,"14","it",30,"0"
"338",1,13,5,0.206541,6,1,5.1,"14","it",30,"0"
"339",1,14,5,0.250652,2,2,5.1,"14","it",30,"0"
"340",1,15,1,0,7,1,9.4,"14","it",30,"0"
"341",1,16,1,0.086978,6,3,9.4,"14","it",30,"0"
"342",1,17,5,0.18332,1,4,5.1,"14","it",30,"0"
"343",1,18,3,0.016046,1,1,4.8,"14","it",30,"0"
"344",1,19,0,0.171404,5,3,5.5,"14","it",30,"0"
"345",1,20,1,0.065076,3,3,9.4,"14","it",30,"0"
"346",1,21,2,0,4,1,7.2,"14","it",30,"0"
"347",1,22,1,0.006453,4,3,9.4,"14","it",30,"0"
"348",1,23,1,0.050029,2,1,9.4,"14","it",30,"0"
"349",1,24,1,0.005367,2,3,9.4,"14","it",30,"0"
"350",1,25,1,0,4,1,9.4,"14","it",30,"0"
"351",1,26,1,0,6,1,9.4,"14","it",30,"0"
"352",1,27,1,0,6,1,9.4,"14","it",30,"0"
"353",1,28,1,0.039969,5,3,9.4,"14","it",30,"0"
"354",1,29,2,0.068292,4,1,7.2,"14","it",30,"0"
"355",1,30,1,0,5,1,9.4,"14","it",30,"0"
"356",1,31,1,0.23789,5,1,9.4,"14","it",30,"0"
"357",1,32,2,0.261771,1,1,7.2,"14","it",30,"0"
"358",1,33,2,0.104048,4,1,7.2,"14","it",30,"0"
"359",1,34,2,0.085629,1,1,7.2,"14","it",30,"0"
"360",1,35,2,0.050871,1,1,7.2,"14","it",30,"0"
"361",1,6,1,0,3,1,9.4,"15","ahp",30,"0"
"362",1,7,1,0.218647,1,2,9.4,"15","ahp",30,"0"
"363",1,8,1,0.171441,1,1,9.4,"15","ahp",30,"0"
"364",1,9,3,0.071891,1,3,4.8,"15","ahp",30,"0"
"365",1,10,1,0.225425,4,1,9.4,"15","ahp",30,"0"
"366",1,11,1,0.256669,1,1,9.4,"15","ahp",30,"0"
"367",1,12,1,0.017866,5,1,9.4,"15","ahp",30,"0"
"368",1,13,2,0.118276,1,1,7.2,"15","ahp",30,"0"
"369",1,14,1,0.06539,7,1,9.4,"15","ahp",30,"0"
"370",1,15,1,0,3,1,9.4,"15","ahp",30,"0"
"371",1,16,1,0.235636,2,2,9.4,"15","ahp",30,"0"
"372",1,17,1,0.246907,1,1,9.4,"15","ahp",30,"0"
"373",1,18,1,0.172838,2,2,9.4,"15","ahp",30,"0"
"374",1,19,1,0.092412,1,2,9.4,"15","ahp",30,"0"
"375",1,20,3,0.134151,1,3,4.8,"15","ahp",30,"0"
"376",1,21,1,0.170586,4,1,9.4,"15","ahp",30,"0"
"377",1,22,0,0.101608,2,2,5.5,"15","ahp",30,"0"
"378",1,23,1,0.031177,3,2,9.4,"15","ahp",30,"0"
